word,level,frequency,pos
get,a1,180,VERB
read,a1,162,VERB
school,a1,75,NOUN
write,a1,69,VERB
day,a1,63,NOUN
listen,a1,55,VERB
big,a1,55,ADJ
child,a1,54,NOUN
come,a1,48,VERB
room,a1,41,PROPN
unit,a2,29,NOUN
soldier,a2,17,NOUN
pet,a2,15,NOUN
chip,a2,15,NOUN
cartoon,a2,14,NOUN
lamp,a2,13,NOUN
express,a2,10,VERB
cupboard,a2,10,PROPN
biscuit,a2,9,NOUN
item,a2,8,NOUN
shelf,b1,16,NOUN
tail,b1,13,NOUN
rock,b1,9,VERB
total,b1,8,ADJ
communication,b1,8,NOUN
portfolio,b1,8,NOUN
noon,b1,8,PROPN
primary,b1,7,ADJ
episode,b1,7,NOUN
crawl,b1,6,PROPN
publishing,b2,8,NOUN
notebook,b2,7,NOUN
tale,b2,4,PROPN
flavour,b2,4,PROPN
fabulous,b2,3,ADJ
heel,b2,3,NOUN
preference,b2,3,NOUN
framework,b2,2,NOUN
cute,b2,2,ADJ
composer,b2,2,PROPN
