word,level,frequency,pos
get,a1,180,VERB
read,a1,162,VERB
school,a1,75,NOUN
write,a1,69,VERB
day,a1,63,NOUN
listen,a1,55,VERB
big,a1,55,ADJ
child,a1,54,NOUN
come,a1,48,VERB
room,a1,41,PROPN
friend,a1,37,NOUN
say,a1,35,VERB
word,a1,32,NOUN
choose,a1,31,VERB
sing,a1,31,VERB
let,a1,29,VERB
box,a1,28,NOUN
mouse,a1,27,PROPN
mother,a1,26,NOUN
eat,a1,24,VERB
sister,a1,23,NOUN
game,a1,23,NOUN
mum,a1,23,NOUN
ice,a1,22,NOUN
thank,a1,22,NOUN
great,a1,22,ADJ
food,a1,22,NOUN
animal,a1,22,NOUN
practice,a1,22,NOUN
table,a1,22,NOUN
know,a1,22,VERB
body,a1,21,NOUN
bed,a1,21,NOUN
happy,a1,21,ADJ
dad,a1,21,NOUN
thing,a1,21,NOUN
brother,a1,20,NOUN
new,a1,20,ADJ
learn,a1,20,VERB
class,a1,19,PROPN
dog,a1,19,NOUN
horse,a1,19,NOUN
ask,a1,18,VERB
cat,a1,18,NOUN
music,a1,18,NOUN
boy,a1,18,NOUN
milk,a1,18,NOUN
sunday,a1,18,NOUN
year,a1,17,NOUN
ball,a1,17,NOUN
chicken,a1,17,NOUN
nice,a1,16,ADJ
glass,a1,16,NOUN
tv,a1,16,NOUN
colour,a1,16,NOUN
man,a1,16,NOUN
draw,a1,15,VERB
potato,a1,15,PROPN
egg,a1,15,PROPN
rice,a1,15,NOUN
baby,a1,15,PROPN
small,a1,15,ADJ
tea,a1,15,NOUN
father,a1,15,NOUN
bedroom,a1,15,NOUN
funny,a1,15,ADJ
computer,a1,14,NOUN
practise,a1,14,NOUN
pen,a1,14,NOUN
leg,a1,14,NOUN
bag,a1,14,NOUN
monday,a1,14,PROPN
pencil,a1,14,PROPN
morning,a1,14,NOUN
student,a1,13,NOUN
find,a1,13,VERB
art,a1,13,NOUN
old,a1,13,ADJ
tree,a1,12,PROPN
dear,a1,12,ADJ
ear,a1,12,NOUN
beautiful,a1,12,ADJ
breakfast,a1,11,NOUN
cheese,a1,11,PROPN
join,a1,11,VERB
tooth,a1,11,NOUN
elephant,a1,11,PROPN
foot,a1,11,NOUN
girl,a1,11,NOUN
teacher,a1,11,NOUN
paragraph,a1,11,NOUN
eye,a1,11,NOUN
friday,a1,10,PROPN
car,a1,10,NOUN
carrot,a1,10,PROPN
desk,a1,10,NOUN
story,a1,10,NOUN
apple,a1,10,NOUN
holiday,a1,10,NOUN
lunch,a1,10,NOUN
pair,a1,10,NOUN
juice,a1,10,NOUN
nose,a1,9,NOUN
describe,a1,9,VERB
similar,a1,9,ADJ
saturday,a1,9,PROPN
sheep,a1,9,NOUN
kitchen,a1,8,NOUN
bike,a1,8,NOUN
country,a1,8,NOUN
chocolate,a1,8,NOUN
idea,a1,8,NOUN
activity,a1,8,NOUN
speak,a1,8,VERB
people,a1,8,NOUN
cake,a1,8,VERB
tuesday,a1,8,PROPN
follow,a1,8,NOUN
letter,a1,8,NOUN
cow,a1,8,PROPN
dish,a1,8,NOUN
away,a1,8,ADV
dialogue,a1,8,NOUN
wednesday,a1,8,PROPN
woman,a1,7,NOUN
writing,a1,7,NOUN
city,a1,7,NOUN
bath,a1,7,NOUN
garden,a1,7,NOUN
hat,a1,7,NOUN
mouth,a1,7,NOUN
bathroom,a1,7,NOUN
evening,a1,7,PROPN
popular,a1,7,ADJ
afternoon,a1,7,NOUN
vegetable,a1,7,NOUN
bring,a1,7,VERB
piano,a1,7,PROPN
hot,a1,7,ADJ
ready,a1,6,ADJ
lesson,a1,6,NOUN
street,a1,6,NOUN
short,a1,6,ADJ
night,a1,6,NOUN
bird,a1,6,PROPN
dancing,a1,6,NOUN
clock,a1,6,NOUN
tell,a1,6,VERB
shirt,a1,6,NOUN
museum,a1,6,PROPN
reading,a1,6,NOUN
different,a1,6,ADJ
grandmother,a1,6,NOUN
fruit,a1,5,NOUN
sandwich,a1,5,NOUN
basketball,a1,5,NOUN
miss,a1,5,PROPN
tall,a1,5,ADJ
sad,a1,5,ADJ
add,a1,5,NOUN
poor,a1,5,ADJ
flower,a1,5,NOUN
member,a1,5,NOUN
wear,a1,5,VERB
thursday,a1,5,PROPN
sun,a1,5,NOUN
sit,a1,5,VERB
want,a1,5,VERB
banana,a1,5,NOUN
jacket,a1,5,NOUN
birthday,a1,4,NOUN
painting,a1,4,NOUN
song,a1,4,NOUN
shoe,a1,4,NOUN
classroom,a1,4,NOUN
famous,a1,4,ADJ
parent,a1,4,NOUN
fine,a1,4,NOUN
moment,a1,4,NOUN
menu,a1,4,NOUN
sell,a1,4,VERB
radio,a1,4,NOUN
theatre,a1,4,PROPN
dirty,a1,4,ADJ
think,a1,4,VERB
meat,a1,4,NOUN
photo,a1,4,NOUN
sport,a1,4,NOUN
part,a1,4,NOUN
grandparent,a1,4,NOUN
grandfather,a1,4,NOUN
fill,a1,4,VERB
video,a1,4,NOUN
march,a1,4,PROPN
skirt,a1,4,NOUN
history,a1,4,NOUN
spend,a1,4,VERB
group,a1,4,NOUN
hear,a1,4,VERB
festival,a1,3,PROPN
buy,a1,3,VERB
library,a1,3,NOUN
cousin,a1,3,PROPN
arm,a1,3,NOUN
happen,a1,3,VERB
hair,a1,3,NOUN
uncle,a1,3,PROPN
aunt,a1,3,PROPN
interesting,a1,3,ADJ
midnight,a1,3,PROPN
cafe,a1,3,NOUN
gym,a1,3,NOUN
quick,a1,3,PROPN
special,a1,3,ADJ
job,a1,3,NOUN
shower,a1,3,NOUN
week,a1,3,NOUN
dvd,a1,3,NOUN
plane,a1,3,NOUN
programme,a1,3,NOUN
course,a1,3,NOUN
artist,a1,2,PROPN
science,a1,2,NOUN
give,a1,2,VERB
actor,a1,2,NOUN
snake,a1,2,PROPN
tennis,a1,2,NOUN
band,a1,2,NOUN
action,a1,2,NOUN
card,a1,2,NOUN
singer,a1,2,NOUN
cinema,a1,2,NOUN
guitar,a1,2,NOUN
spell,a1,2,VERB
homework,a1,2,VERB
geography,a1,2,NOUN
easy,a1,2,ADJ
usually,a1,2,ADV
information,a1,2,NOUN
window,a1,2,NOUN
town,a1,2,NOUN
weekend,a1,2,NOUN
door,a1,2,NOUN
common,a1,2,ADJ
carry,a1,2,VERB
writer,a1,2,PROPN
relax,a1,2,VERB
meet,a1,2,VERB
shopping,a1,2,NOUN
put,a1,2,VERB
farmer,a1,2,NOUN
boat,a1,2,NOUN
personal,a1,2,ADJ
hobby,a1,2,NOUN
bus,a1,2,NOUN
begin,a1,2,VERB
topic,a1,2,NOUN
team,a1,2,NOUN
supermarket,a1,2,NOUN
see,a1,1,VERB
feeling,a1,1,NOUN
ago,a1,1,ADV
strong,a1,1,ADJ
weather,a1,1,NOUN
television,a1,1,NOUN
section,a1,1,NOUN
rich,a1,1,PROPN
dinner,a1,1,NOUN
example,a1,1,NOUN
soon,a1,1,ADV
send,a1,1,VERB
salad,a1,1,NOUN
skill,a1,1,NOUN
euro,a1,1,NOUN
quickly,a1,1,ADV
enjoy,a1,1,VERB
umbrella,a1,1,PROPN
world,a1,1,NOUN
introduce,a1,1,VERB
winter,a1,1,NOUN
football,a1,1,NOUN
wonderful,a1,1,ADJ
life,a1,1,NOUN
unit,a2,29,NOUN
soldier,a2,17,NOUN
pet,a2,15,NOUN
chip,a2,15,NOUN
cartoon,a2,14,NOUN
lamp,a2,13,NOUN
express,a2,10,VERB
cupboard,a2,10,PROPN
